                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.5024,                 1.0143,                 1.4902,                 1.5557,                 1.1203,                 1.5294,                  0.736,                0.71253,                0.76181,                0.38181,                 1.5486,                0.92105,                 1.5145,                 1.5901,                0.93066,                 1.5528,              0.0097921,              0.0097921,              0.0097921
                     24,                 1.4905,                0.98324,                 1.4887,                 1.5431,                 1.0854,                 1.5288,                0.71731,                0.71039,                0.75445,                0.38219,                 1.5308,                0.92403,                 1.5021,                 1.5752,                0.94423,                  1.542,              0.0097822,              0.0097822,              0.0097822
                     25,                  1.496,                 0.9797,                 1.4808,                  1.551,                 1.0833,                 1.5219,                0.70676,                0.72554,                0.75788,                0.37851,                 1.5493,                0.91378,                 1.5223,                 1.5947,                0.93811,                 1.5647,              0.0097723,              0.0097723,              0.0097723
                     26,                 1.4719,                0.95814,                 1.4674,                 1.5311,                 1.0592,                   1.51,                0.72578,                0.72091,                0.76142,                0.38513,                 1.5316,                0.91665,                 1.5246,                 1.5729,                0.95047,                 1.5648,              0.0097624,              0.0097624,              0.0097624
                     27,                 1.4798,                0.96837,                  1.478,                 1.5352,                 1.0643,                 1.5163,                0.72284,                0.71679,                0.75681,                0.37802,                 1.5479,                0.91984,                 1.5028,                 1.5974,                0.95073,                 1.5418,              0.0097525,              0.0097525,              0.0097525
                     28,                 1.4581,                0.94801,                 1.4595,                 1.5193,                 1.0343,                 1.5027,                0.72467,                0.71229,                0.76363,                0.38475,                 1.5263,                0.91036,                 1.5143,                  1.569,                 0.9252,                 1.5534,              0.0097426,              0.0097426,              0.0097426
                     29,                 1.4706,                0.95796,                 1.4702,                 1.5266,                 1.0589,                 1.5099,                 0.7483,                0.71299,                0.77655,                0.38811,                  1.537,                0.90043,                 1.5023,                 1.5776,                0.92849,                 1.5405,              0.0097327,              0.0097327,              0.0097327
                     30,                 1.4571,                0.94194,                 1.4633,                 1.5107,                 1.0404,                 1.4963,                0.73275,                0.72301,                0.77636,                0.39157,                 1.5231,                0.87704,                 1.4988,                 1.5795,                0.89473,                 1.5417,              0.0097228,              0.0097228,              0.0097228
                     31,                 1.4594,                0.94274,                 1.4692,                 1.5117,                 1.0409,                  1.505,                0.73031,                 0.7062,                 0.7595,                0.37946,                 1.5398,                0.89478,                 1.5105,                 1.5781,                0.92637,                 1.5529,              0.0097129,              0.0097129,              0.0097129
                     32,                   1.44,                 0.9214,                 1.4487,                 1.4964,                 1.0139,                 1.4928,                0.73138,                0.73074,                0.77284,                0.38647,                  1.538,                0.87924,                 1.5125,                  1.583,                0.90785,                 1.5567,               0.009703,               0.009703,               0.009703
