                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 1.2772,                0.71071,                 1.3323,                 1.3311,                0.75529,                  1.372,                0.77691,                0.75429,                0.79623,                 0.4052,                 1.5518,                0.82324,                 1.5468,                 1.5782,                 0.8944,                 1.5671,              0.0090001,              0.0090001,              0.0090001
                    104,                 1.2671,                0.70453,                 1.3328,                  1.322,                0.76094,                 1.3723,                0.77127,                0.75774,                0.79439,                 0.4041,                 1.5533,                0.82332,                 1.5491,                 1.5773,                0.90011,                  1.569,              0.0089902,              0.0089902,              0.0089902
                    105,                 1.2615,                0.70389,                  1.328,                 1.3142,                0.75414,                 1.3629,                0.74961,                0.77224,                0.79173,                0.40353,                 1.5538,                0.82404,                 1.5493,                 1.5786,                0.90183,                 1.5685,              0.0089803,              0.0089803,              0.0089803
                    106,                 1.2658,                0.70726,                 1.3293,                 1.3173,                0.75969,                 1.3631,                0.75431,                0.77113,                0.79405,                0.40382,                 1.5556,                 0.8246,                 1.5516,                 1.5775,                0.90448,                 1.5661,              0.0089704,              0.0089704,              0.0089704
                    107,                 1.2684,                0.71051,                 1.3326,                 1.3194,                 0.7613,                 1.3682,                0.77666,                   0.75,                0.79188,                0.40318,                 1.5571,                0.82298,                 1.5543,                 1.5788,                0.90705,                 1.5675,              0.0089605,              0.0089605,              0.0089605
                    108,                  1.257,                0.70231,                 1.3298,                 1.3094,                0.75203,                 1.3637,                0.76757,                0.75618,                0.79051,                0.40321,                 1.5583,                0.82445,                 1.5565,                 1.5803,                0.90474,                 1.5698,              0.0089506,              0.0089506,              0.0089506
                    109,                 1.2605,                0.70376,                 1.3309,                 1.3127,                 0.7537,                 1.3666,                0.76659,                0.75522,                0.79175,                0.40332,                 1.5573,                0.82519,                 1.5552,                 1.5808,                0.90335,                 1.5702,              0.0089407,              0.0089407,              0.0089407
                    110,                 1.2585,                 0.7024,                 1.3272,                 1.3107,                0.76045,                 1.3588,                0.75828,                0.76304,                0.79023,                0.40098,                 1.5578,                 0.8262,                 1.5546,                 1.5832,                0.90156,                 1.5707,              0.0089308,              0.0089308,              0.0089308
                    111,                 1.2651,                0.70383,                 1.3299,                 1.3179,                0.75648,                 1.3624,                0.76023,                0.76672,                0.79329,                0.40221,                 1.5575,                0.82581,                 1.5547,                 1.5822,                0.90573,                   1.57,              0.0089209,              0.0089209,              0.0089209
                    112,                 1.2593,                0.70352,                 1.3256,                 1.3136,                0.75721,                 1.3616,                0.76087,                0.76945,                0.79488,                0.40237,                 1.5581,                0.82663,                 1.5555,                 1.5834,                0.90274,                 1.5714,               0.008911,               0.008911,               0.008911
                    113,                 1.2526,                0.69347,                 1.3125,                 1.3065,                0.74389,                 1.3449,                0.76121,                0.77217,                 0.7953,                0.40201,                 1.5589,                0.82596,                 1.5561,                 1.5844,                0.89968,                 1.5715,              0.0089011,              0.0089011,              0.0089011
                    114,                 1.2457,                0.69532,                 1.3212,                 1.2974,                0.74212,                 1.3565,                0.76622,                0.76466,                0.79562,                0.40191,                 1.5585,                0.82578,                  1.557,                 1.5833,                0.90338,                 1.5727,              0.0088912,              0.0088912,              0.0088912
                    115,                 1.2611,                0.70681,                 1.3271,                 1.3152,                0.75414,                 1.3622,                0.76703,                0.77183,                0.79488,                0.40199,                  1.558,                0.82505,                  1.558,                 1.5822,                0.89942,                 1.5733,              0.0088813,              0.0088813,              0.0088813
                    116,                  1.251,                0.69085,                 1.3211,                 1.3017,                0.73807,                 1.3555,                0.76435,                0.76899,                0.79414,                0.40285,                 1.5573,                0.82587,                 1.5569,                 1.5826,                0.90211,                 1.5746,              0.0088714,              0.0088714,              0.0088714
                    117,                 1.2449,                0.68395,                 1.3166,                 1.2945,                0.73007,                 1.3524,                0.77098,                0.76753,                0.79419,                0.40366,                 1.5581,                0.82498,                 1.5583,                 1.5825,                0.90301,                 1.5753,              0.0088615,              0.0088615,              0.0088615
                    118,                 1.2366,                0.68879,                 1.3131,                 1.2897,                0.73791,                  1.345,                0.76285,                0.76774,                0.79308,                0.40402,                 1.5586,                0.82662,                 1.5584,                 1.5816,                0.90161,                 1.5759,              0.0088516,              0.0088516,              0.0088516
                    119,                 1.2601,                0.69966,                 1.3262,                 1.3127,                0.75323,                 1.3628,                0.77873,                0.75833,                0.79409,                0.40462,                 1.5578,                0.82731,                 1.5576,                 1.5819,                0.90138,                 1.5749,              0.0088417,              0.0088417,              0.0088417
                    120,                 1.2333,                0.68911,                 1.3005,                 1.2862,                0.73579,                 1.3338,                0.77274,                   0.77,                0.79629,                0.40522,                 1.5582,                0.82756,                 1.5568,                 1.5817,                0.90326,                 1.5733,              0.0088318,              0.0088318,              0.0088318
                    121,                 1.2311,                0.68137,                 1.3034,                 1.2855,                0.72814,                 1.3378,                0.77033,                0.77011,                0.79297,                0.40425,                  1.559,                0.82702,                 1.5571,                 1.5831,                0.90544,                 1.5738,              0.0088219,              0.0088219,              0.0088219
                    122,                 1.2425,                0.68842,                  1.314,                 1.2968,                0.73285,                 1.3521,                0.76833,                0.76828,                0.79321,                0.40383,                 1.5596,                0.82748,                 1.5574,                 1.5843,                0.90515,                 1.5739,               0.008812,               0.008812,               0.008812
                    123,                 1.2407,                0.68956,                 1.3135,                 1.2942,                0.74118,                 1.3501,                0.76551,                0.76518,                0.79232,                0.40349,                 1.5602,                0.82804,                 1.5583,                 1.5833,                0.91069,                 1.5734,              0.0088021,              0.0088021,              0.0088021
                    124,                 1.2425,                0.69097,                 1.3111,                 1.2971,                0.74189,                 1.3462,                0.76298,                 0.7689,                0.79159,                0.40344,                 1.5599,                0.82867,                 1.5575,                 1.5838,                0.90755,                 1.5745,              0.0087922,              0.0087922,              0.0087922
                    125,                  1.242,                0.68833,                 1.3064,                 1.2946,                0.73875,                 1.3413,                0.75831,                0.77067,                0.79203,                0.40338,                 1.5602,                0.82918,                 1.5576,                 1.5841,                0.90782,                 1.5741,              0.0087823,              0.0087823,              0.0087823
                    126,                 1.2315,                0.68402,                 1.3003,                 1.2843,                0.73242,                 1.3369,                0.76476,                 0.7631,                0.79325,                0.40279,                 1.5612,                0.82902,                 1.5582,                 1.5839,                0.91162,                 1.5736,              0.0087724,              0.0087724,              0.0087724
                    127,                 1.2353,                0.68656,                 1.3043,                 1.2866,                0.72678,                 1.3383,                0.74774,                0.78142,                0.79401,                0.40351,                 1.5605,                0.82943,                 1.5571,                 1.5842,                0.91131,                  1.574,              0.0087625,              0.0087625,              0.0087625
                    128,                 1.2429,                0.68271,                 1.3095,                 1.2966,                0.72992,                 1.3426,                0.77105,                0.75703,                0.79505,                0.40277,                 1.5611,                0.83012,                 1.5575,                 1.5842,                0.91308,                 1.5727,              0.0087526,              0.0087526,              0.0087526
                    129,                  1.233,                0.68266,                 1.2997,                 1.2848,                0.72984,                 1.3332,                0.76759,                0.75974,                0.79663,                0.40353,                 1.5614,                0.83031,                 1.5575,                 1.5849,                0.91087,                 1.5719,              0.0087427,              0.0087427,              0.0087427
                    130,                 1.2349,                0.68607,                 1.3107,                 1.2886,                0.73029,                 1.3455,                0.76516,                 0.7615,                0.79751,                0.40392,                 1.5616,                0.83118,                 1.5578,                 1.5848,                0.91139,                 1.5715,              0.0087328,              0.0087328,              0.0087328
                    131,                 1.2378,                0.68522,                 1.3064,                 1.2901,                0.73162,                 1.3408,                0.76244,                  0.769,                 0.7967,                0.40243,                 1.5618,                0.83123,                 1.5575,                  1.585,                0.91466,                 1.5715,              0.0087229,              0.0087229,              0.0087229
                    132,                 1.2272,                0.68357,                 1.2988,                 1.2809,                0.72844,                 1.3349,                 0.7597,                0.77205,                0.79687,                0.40247,                 1.5618,                 0.8317,                 1.5574,                 1.5839,                 0.9175,                 1.5708,               0.008713,               0.008713,               0.008713
                    133,                 1.2307,                0.67673,                 1.2937,                 1.2813,                0.72467,                 1.3272,                0.76889,                0.76136,                0.79577,                0.40232,                  1.562,                0.83128,                 1.5572,                 1.5848,                0.91574,                 1.5709,              0.0087031,              0.0087031,              0.0087031
                    134,                 1.2233,                0.67642,                  1.307,                 1.2761,                0.72077,                 1.3447,                0.76903,                0.76465,                0.79596,                0.40269,                 1.5617,                0.83141,                 1.5571,                 1.5846,                0.91539,                 1.5715,              0.0086932,              0.0086932,              0.0086932
                    135,                 1.2255,                 0.6821,                 1.2983,                  1.279,                0.73147,                 1.3325,                0.76853,                0.76543,                0.79713,                0.40318,                 1.5613,                0.83144,                 1.5568,                 1.5846,                0.91399,                 1.5715,              0.0086833,              0.0086833,              0.0086833
                    136,                 1.2325,                0.68332,                 1.3098,                 1.2843,                0.72858,                 1.3436,                0.76547,                0.76732,                0.79576,                 0.4026,                 1.5612,                0.83145,                 1.5574,                 1.5853,                 0.9128,                 1.5732,              0.0086734,              0.0086734,              0.0086734
                    137,                 1.2293,                0.67643,                  1.302,                 1.2814,                 0.7224,                 1.3369,                0.76423,                0.77043,                0.79621,                0.40218,                 1.5608,                0.83052,                 1.5573,                 1.5848,                0.91357,                 1.5723,              0.0086635,              0.0086635,              0.0086635
                    138,                 1.2219,                0.66726,                 1.2961,                 1.2765,                0.70475,                 1.3296,                0.75768,                0.77424,                0.79596,                0.40206,                 1.5608,                0.83013,                 1.5575,                  1.584,                0.91394,                 1.5724,              0.0086536,              0.0086536,              0.0086536
                    139,                  1.231,                 0.6769,                 1.3021,                 1.2856,                0.71979,                 1.3369,                0.75548,                0.77365,                0.79641,                0.40215,                 1.5609,                 0.8302,                 1.5577,                 1.5835,                0.91454,                 1.5725,              0.0086437,              0.0086437,              0.0086437
                    140,                 1.2191,                0.67216,                 1.2884,                 1.2698,                0.71654,                 1.3215,                0.75453,                0.77191,                0.79546,                0.40215,                 1.5614,                0.82933,                  1.558,                 1.5844,                0.91288,                 1.5731,              0.0086338,              0.0086338,              0.0086338
                    141,                 1.2096,                0.66661,                 1.2884,                  1.261,                0.70781,                 1.3217,                0.76199,                0.76751,                 0.7938,                0.40166,                 1.5622,                 0.8292,                  1.559,                 1.5849,                 0.9133,                  1.573,              0.0086239,              0.0086239,              0.0086239
                    142,                 1.2263,                 0.6798,                 1.2944,                 1.2803,                0.72346,                 1.3279,                0.75514,                0.77284,                0.79466,                0.40151,                 1.5631,                0.82954,                 1.5594,                 1.5856,                0.91321,                 1.5733,               0.008614,               0.008614,               0.008614
                    143,                 1.2209,                0.67226,                 1.2951,                 1.2731,                0.71458,                 1.3287,                0.76485,                0.76704,                0.79405,                0.40078,                 1.5633,                0.82888,                 1.5601,                 1.5857,                0.91385,                 1.5742,              0.0086041,              0.0086041,              0.0086041
                    144,                 1.2129,                0.67165,                 1.2867,                 1.2661,                 0.7144,                 1.3182,                0.76366,                0.76545,                0.79424,                0.40118,                 1.5637,                0.82899,                 1.5604,                 1.5863,                0.91239,                 1.5748,              0.0085942,              0.0085942,              0.0085942
                    145,                 1.2101,                0.66774,                 1.2896,                 1.2613,                 0.7109,                  1.321,                0.77442,                0.75368,                0.79485,                0.40104,                 1.5638,                0.82903,                 1.5606,                 1.5868,                 0.9126,                 1.5754,              0.0085843,              0.0085843,              0.0085843
                    146,                 1.2029,                0.66279,                 1.2887,                 1.2573,                0.70361,                 1.3239,                0.77315,                0.75527,                0.79344,                0.40047,                  1.564,                0.82896,                  1.561,                 1.5861,                0.91554,                 1.5746,              0.0085744,              0.0085744,              0.0085744
                    147,                 1.2125,                 0.6672,                 1.2974,                 1.2662,                0.70695,                 1.3326,                0.77315,                0.75606,                0.79342,                0.40048,                  1.564,                0.82881,                 1.5614,                 1.5863,                0.91487,                 1.5749,              0.0085645,              0.0085645,              0.0085645
                    148,                 1.2079,                0.65945,                 1.2854,                   1.26,                0.70507,                 1.3187,                0.77259,                0.75457,                0.79271,                0.40049,                 1.5643,                0.82881,                 1.5617,                 1.5866,                0.91543,                 1.5757,              0.0085546,              0.0085546,              0.0085546
                    149,                 1.2166,                0.66757,                 1.2928,                 1.2701,                0.71536,                 1.3271,                0.78714,                0.74409,                0.79297,                0.40042,                 1.5646,                 0.8286,                 1.5622,                 1.5865,                0.91664,                 1.5762,              0.0085447,              0.0085447,              0.0085447
                    150,                 1.2166,                 0.6678,                 1.2914,                 1.2668,                0.71699,                 1.3244,                0.78332,                0.74713,                0.79362,                0.40086,                 1.5645,                0.82839,                 1.5622,                 1.5864,                0.91649,                 1.5764,              0.0085348,              0.0085348,              0.0085348
                    151,                 1.2056,                0.66178,                 1.2864,                 1.2563,                0.70079,                 1.3194,                0.77881,                0.75245,                0.79423,                0.40134,                 1.5647,                0.82782,                 1.5625,                 1.5868,                0.91525,                 1.5771,              0.0085249,              0.0085249,              0.0085249
                    152,                 1.2012,                0.65963,                 1.2824,                 1.2554,                0.69969,                 1.3178,                0.77776,                0.75392,                0.79426,                0.40033,                 1.5647,                0.82792,                 1.5624,                 1.5867,                0.91737,                 1.5769,               0.008515,               0.008515,               0.008515
                    153,                 1.2154,                0.65999,                 1.2923,                 1.2684,                0.70159,                 1.3265,                0.77724,                0.75334,                0.79399,                0.40052,                 1.5647,                0.82816,                 1.5628,                 1.5867,                0.91708,                 1.5769,              0.0085051,              0.0085051,              0.0085051
                    154,                 1.2095,                0.65991,                 1.2933,                 1.2618,                0.69944,                 1.3284,                0.77718,                0.75283,                0.79393,                 0.4011,                 1.5647,                0.82835,                 1.5628,                 1.5869,                0.91665,                 1.5769,              0.0084952,              0.0084952,              0.0084952
                    155,                  1.206,                0.65961,                 1.2852,                 1.2604,                0.69981,                   1.32,                0.77873,                  0.752,                0.79217,                0.40057,                 1.5648,                0.82811,                 1.5629,                 1.5871,                0.91578,                 1.5769,              0.0084853,              0.0084853,              0.0084853
                    156,                 1.2066,                0.66474,                 1.2886,                 1.2606,                 0.7015,                 1.3225,                 0.7807,                0.74991,                0.79069,                0.40023,                 1.5651,                0.82803,                 1.5631,                 1.5875,                0.91565,                 1.5769,              0.0084754,              0.0084754,              0.0084754
                    157,                 1.2027,                0.65671,                   1.28,                 1.2559,                0.69905,                 1.3113,                0.77523,                0.75638,                0.79203,                0.40118,                 1.5653,                0.82778,                 1.5636,                 1.5867,                0.91714,                 1.5763,              0.0084655,              0.0084655,              0.0084655
                    158,                  1.205,                0.65255,                 1.2812,                 1.2557,                 0.6962,                 1.3142,                0.78105,                0.75133,                0.79253,                0.40104,                 1.5656,                 0.8281,                 1.5638,                 1.5873,                0.91612,                 1.5762,              0.0084556,              0.0084556,              0.0084556
                    159,                 1.1894,                0.64577,                 1.2787,                 1.2398,                0.68299,                  1.314,                0.78203,                0.75547,                0.79282,                0.40163,                 1.5659,                0.82804,                 1.5642,                 1.5873,                0.91642,                 1.5764,              0.0084457,              0.0084457,              0.0084457
                    160,                 1.1945,                0.65646,                 1.2809,                 1.2451,                0.69533,                 1.3145,                0.77828,                 0.7579,                0.79338,                 0.4021,                  1.566,                0.82857,                 1.5644,                 1.5878,                0.91528,                 1.5769,              0.0084358,              0.0084358,              0.0084358
                    161,                   1.19,                0.64706,                 1.2761,                 1.2442,                0.68427,                 1.3107,                0.77941,                0.75573,                0.79239,                0.40108,                 1.5663,                0.82875,                 1.5644,                 1.5877,                0.91618,                 1.5766,              0.0084259,              0.0084259,              0.0084259
                    162,                 1.1949,                0.65192,                  1.283,                 1.2524,                0.69045,                 1.3203,                0.77659,                0.75833,                0.79205,                0.40143,                 1.5663,                0.82855,                 1.5646,                 1.5879,                0.91668,                 1.5768,               0.008416,               0.008416,               0.008416
                    163,                  1.209,                0.66072,                 1.2821,                 1.2608,                0.70551,                  1.314,                0.77381,                 0.7609,                0.79274,                0.40163,                 1.5662,                0.82857,                 1.5643,                 1.5876,                0.91894,                 1.5766,              0.0084061,              0.0084061,              0.0084061
                    164,                 1.1955,                0.65627,                 1.2664,                 1.2481,                0.69752,                 1.2997,                0.77662,                0.75845,                0.79248,                0.40162,                 1.5658,                0.82836,                 1.5635,                 1.5878,                0.91819,                 1.5769,              0.0083962,              0.0083962,              0.0083962
                    165,                 1.1928,                0.64855,                   1.27,                 1.2474,                0.68442,                 1.3045,                0.77623,                0.76055,                0.79187,                0.40141,                 1.5657,                0.82837,                 1.5633,                 1.5881,                0.91693,                 1.5771,              0.0083863,              0.0083863,              0.0083863
                    166,                 1.1908,                0.65302,                 1.2781,                 1.2432,                0.69345,                 1.3141,                0.76807,                0.76414,                0.79175,                0.40137,                 1.5656,                0.82853,                 1.5634,                 1.5873,                0.92043,                 1.5771,              0.0083764,              0.0083764,              0.0083764
                    167,                 1.1927,                0.65279,                 1.2811,                 1.2455,                0.69663,                 1.3173,                0.77655,                0.76076,                0.79097,                0.40125,                 1.5658,                0.82839,                 1.5638,                 1.5879,                0.91843,                 1.5774,              0.0083665,              0.0083665,              0.0083665
                    168,                 1.1876,                0.64814,                 1.2791,                 1.2411,                0.68805,                 1.3159,                0.77609,                0.76051,                0.79076,                0.40134,                 1.5659,                0.82874,                 1.5639,                 1.5884,                0.91726,                  1.578,              0.0083566,              0.0083566,              0.0083566
                    169,                 1.1888,                0.64461,                 1.2761,                 1.2414,                0.68425,                 1.3126,                0.77606,                0.76135,                0.79152,                0.40194,                 1.5663,                0.82873,                 1.5643,                 1.5881,                0.91789,                 1.5781,              0.0083467,              0.0083467,              0.0083467
                    170,                 1.1965,                0.65308,                 1.2782,                  1.248,                0.69215,                 1.3125,                0.77697,                0.75915,                0.79124,                 0.4018,                 1.5664,                0.82896,                 1.5641,                 1.5871,                 0.9215,                 1.5772,              0.0083368,              0.0083368,              0.0083368
                    171,                 1.2002,                0.65332,                 1.2784,                 1.2519,                0.69356,                 1.3113,                0.77553,                 0.7606,                0.79062,                0.40196,                 1.5663,                0.82863,                  1.564,                 1.5865,                0.92201,                 1.5769,              0.0083269,              0.0083269,              0.0083269
                    172,                 1.2026,                0.65061,                 1.2734,                 1.2564,                0.68536,                 1.3084,                0.77378,                0.75957,                0.78984,                0.40171,                 1.5665,                0.82829,                 1.5642,                  1.587,                0.92091,                 1.5772,               0.008317,               0.008317,               0.008317
                    173,                 1.1996,                0.65252,                 1.2794,                 1.2537,                0.69027,                 1.3154,                0.77258,                0.76039,                0.78962,                0.40153,                 1.5665,                0.82814,                 1.5642,                 1.5871,                0.92157,                 1.5775,              0.0083071,              0.0083071,              0.0083071
                    174,                 1.1864,                0.64386,                 1.2664,                 1.2369,                 0.6878,                 1.3002,                0.77108,                0.75879,                0.78972,                0.40164,                 1.5669,                0.82763,                 1.5646,                 1.5871,                0.92152,                 1.5773,              0.0082972,              0.0082972,              0.0082972
